id,processing,release,weight
1,23,1935,1
2,54,834,1
3,68,136,1
4,38,655,1
5,41,439,1
6,91,2084,1
7,76,1484,1
8,25,1,1
9,19,1329,1
10,38,2241,1
11,58,1961,1
12,37,1333,1
13,21,1500,1
14,87,538,1
15,79,1224,1
16,32,538,1
17,45,1666,1
18,22,1021,1
19,2,1182,1
20,2,376,1
21,74,1057,1
22,71,2798,1
23,5,2343,1
24,40,1076,1
25,27,1412,1
26,26,2546,1
27,85,1420,1
28,74,1971,1
29,91,1881,1
30,93,30,1
31,13,2383,1
32,99,1427,1
33,37,228,1
34,86,926,1
35,5,444,1
36,53,0,1
37,2,2125,1
38,85,1855,1
39,73,2822,1
40,19,0,1
41,80,617,1
42,20,1439,1
43,93,210,1
44,84,556,1
45,18,1489,1
46,64,2778,1
47,26,1909,1
48,39,2358,1
49,77,1504,1
50,34,1492,1
51,8,258,1
52,40,417,1
53,51,464,1
54,55,2193,1
55,80,1644,1
56,84,766,1
57,67,1148,1
58,50,1820,1
59,24,1675,1
60,44,2661,1
